date,state,state_abbrev,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum,weekly_increase
11/06/2022,Western Australia,WA,6158,810373,5,320,8013,3968211,6158,810373,1257,-7,272,-5,11,0,0,4730,6566359,74
24/04/2022,South Australia,SA,3902,382474,5,323,8913,4544096,3902,382474,1980,19,256,-1,11,1,2,2020,3960211,74
8/05/2022,South Australia,SA,2788,433297,5,381,7721,4667865,2788,433297,1980,0,214,-4,9,0,1,1897,4008810,74
25/06/2022,Western Australia,WA,4394,880899,5,387,6133,4074138,4394,880899,1257,3,242,0,8,0,0,3860,6615289,74
27/06/2022,Western Australia,WA,3434,887877,5,394,5965,4084225,3434,887877,1257,-16,234,-1,8,0,0,634,6617591,74
14/05/2022,South Australia,SA,3816,457589,5,407,10987,4727565,3816,457589,1980,-12,217,1,11,-2,0,5385,4036846,74
19/05/2022,South Australia,SA,4492,477237,5,422,12064,4777987,4492,477237,1980,-1,246,1,11,0,1,6320,4056719,74
21/05/2022,South Australia,SA,3171,484296,5,430,9210,4798463,3171,484296,1980,-7,211,-2,11,0,1,5233,4067330,74
3/06/2022,South Australia,SA,2715,523875,5,457,8632,4912657,2715,523875,1980,-9,232,1,10,0,0,4295,4116770,74
7/06/2022,South Australia,SA,2815,533867,5,469,6981,4939513,2815,533867,1980,-7,234,-2,7,0,0,4243,4127358,74
22/02/2022,Queensland,QLD,1492,370287,5,471,5307,6783901,1492,370287,2210,-7,394,-3,34,-9,11,20978,10190484,74
12/10/2021,New South Wales,NSW,347,69552,5,499,88988,18232566,347,69552,2802,-3,766,2,155,-2,74,118477,11173538,74
28/07/2022,Western Australia,WA,4837,1053190,5,502,8812,4328957,4837,1053190,1257,-24,418,-1,16,0,0,0,6753552,74
17/06/2022,South Australia,SA,2773,559972,5,506,9190,5012233,2773,559972,1980,-12,210,-3,5,0,0,4566,4159920,74
20/06/2022,South Australia,SA,2298,566507,5,513,5445,5030898,2298,566507,1980,20,237,1,11,0,0,549,4165836,74
18/10/2021,New South Wales,NSW,259,71658,5,530,60273,18703898,259,71658,2802,-13,606,-5,132,0,71,41117,11699455,74
2/08/2022,Western Australia,WA,3733,1071464,5,530,9221,4361357,3733,1071464,1257,-7,404,1,14,0,0,0,6753552,74
22/10/2021,New South Wales,NSW,339,72899,5,547,76594,19045988,339,72899,2802,-41,482,1,125,1,67,68914,11993468,74
6/07/2022,South Australia,SA,4107,610745,5,557,9046,5145876,4107,610745,1980,33,267,1,11,0,1,2929,4209910,74
12/08/2022,Western Australia,WA,2303,1100493,5,565,5716,4422775,2303,1100493,1257,-15,308,0,11,0,0,0,6753552,74
19/08/2022,Western Australia,WA,1745,1113823,5,589,4226,4456209,1745,1113823,1257,-22,245,0,7,0,0,0,6753552,74
8/03/2022,Queensland,QLD,1234,393563,5,600,4435,6882484,1234,393563,2210,1,268,0,20,-1,5,14180,10372369,74
10/03/2022,Queensland,QLD,1592,396978,5,618,7955,6898236,1592,396978,2210,-10,252,-2,17,0,5,15607,10404326,74
1/08/2022,South Australia,SA,2663,711189,5,695,6246,5376463,2663,711189,1980,4,350,1,12,0,1,0,4323540,74
30/03/2022,Queensland,QLD,10298,747434,5,737,11980,7073517,10298,747434,2210,68,393,1,15,0,2,12427,10675454,74
31/03/2022,Queensland,QLD,10626,758060,5,742,13532,7087049,10626,758060,2210,-31,362,1,16,3,5,13302,10688756,172
16/08/2022,South Australia,SA,1445,740679,5,778,6205,5487064,1445,740679,1980,12,286,1,13,0,1,0,4323540,98
20/08/2022,South Australia,SA,851,745340,5,799,5311,5512546,851,745340,1980,24,263,2,9,0,2,0,4323540,98
22/04/2022,Queensland,QLD,9268,937536,5,833,9691,7270118,9268,937536,2210,-50,528,1,18,0,4,11985,10864419,98
6/09/2022,South Australia,SA,694,756883,5,841,3585,5585335,694,756883,1980,-5,95,-3,6,-1,0,0,0,98
30/04/2022,Queensland,QLD,4465,986439,5,873,7968,7324883,4465,986439,2210,-24,468,-2,9,0,4,10573,10927793,98
7/05/2022,Queensland,QLD,6662,1029811,5,908,11719,7381233,6662,1029811,2210,-9,454,-3,12,0,4,12040,10981546,98
14/05/2022,Queensland,QLD,6130,1073547,5,943,9484,7439870,6130,1073547,2210,7,414,1,12,0,0,10700,11046495,98
28/10/2022,South Australia,SA,2776,777596,5,1038,15973,6013501,2776,777596,0,-6,44,2,5,0,0,0,0,98
28/04/2023,Western Australia,WA,3594,1318323,5,1080,NA,0,3594,0,0,0,0,0,0,0,0,0,0,98
23/06/2022,Queensland,QLD,4794,1260631,5,1191,7753,7769963,4794,1260631,2210,15,512,-1,6,0,0,8015,11357847,98
25/06/2022,Queensland,QLD,4345,1269933,5,1202,8133,7786397,4345,1269933,2210,34,556,4,11,0,0,7224,11373465,98
7/04/2023,South Australia,SA,2619,894547,5,1501,NA,0,2619,0,0,0,0,0,0,0,0,0,0,98
21/04/2023,South Australia,SA,2504,900575,5,1542,NA,0,2504,0,0,0,0,0,0,0,0,0,0,98
2/03/2022,New South Wales,NSW,10616,1150562,5,1884,35093,28716945,10616,1150562,2802,-26,1072,-4,45,1,19,22437,16939829,98
6/03/2022,New South Wales,NSW,8760,1190007,5,1910,30105,28838850,8760,1190007,2802,14,1009,-2,43,-2,16,11764,17017041,98
7/03/2022,New South Wales,NSW,8985,1198992,5,1915,25294,28864144,8985,1198992,2802,57,1066,0,43,-1,15,4365,17021406,98
8/03/2022,New South Wales,NSW,12997,1211989,5,1920,21418,28885562,12997,1211989,2802,4,1070,0,43,1,16,23888,17045294,98
16/03/2022,New South Wales,NSW,30385,1331155,5,1963,48987,29188484,30385,1331155,2802,-16,1016,-2,36,-4,15,24876,17222728,98
17/03/2022,New South Wales,NSW,20042,1351197,5,1968,47495,29235979,20042,1351197,2802,20,1036,-2,34,2,17,26582,17249310,98
23/03/2022,New South Wales,NSW,24065,1466800,5,2003,58938,29497056,24065,1466800,2802,-15,1162,3,44,0,13,24116,17380393,98
1/05/2022,New South Wales,NSW,9228,2106848,5,2414,28868,31059819,9228,2106848,2802,-19,1604,6,75,4,23,7795,17915892,98
2/05/2022,New South Wales,NSW,7619,2114467,5,2419,22824,31082643,7619,2114467,2802,52,1656,-3,72,1,24,1810,17917702,98
23/05/2022,New South Wales,NSW,7023,2517185,5,2698,19979,31720053,7023,2517185,2802,71,1236,-1,35,-1,9,2295,18231352,98
27/03/2022,Victoria,VIC,7347,1240399,5,2748,17370,19894888,7347,1240399,294076,10,260,1,19,0,4,17586,14821939,98
29/03/2022,Victoria,VIC,11700,1259745,5,2753,25350,19934391,11700,1259745,294076,32,284,12,33,0,6,18449,14848778,98
5/06/2022,New South Wales,NSW,5168,2616589,5,2877,19509,32066232,5168,2616589,2802,37,1264,5,33,-1,7,5341,18428224,98
